MarketProjection
Value,Description
COMPETITION,If not selected then the competition will not be returned with marketCatalogue
EVENT,If not selected then the event will not be returned with marketCatalogue
EVENT_TYPE,If not selected then the eventType will not be returned with marketCatalogue
MARKET_START_TIME,If not selected then the start time will not be returned with marketCatalogue
MARKET_DESCRIPTION,If not selected then the description will not be returned with marketCatalogue
RUNNER_DESCRIPTION,If not selected then the runners will not be returned with marketCatalogue
RUNNER_METADATA,If not selected then the runner metadata will not be returned with marketCatalogue. If selected then RUNNER_DESCRIPTION will also be returned regardless of whether it is included as a market projection.

PriceData
Value,Description
SP_AVAILABLE,Amount available for the BSP auction.
SP_TRADED,Amount traded in the BSP auction.
EX_BEST_OFFERS,"Only the best prices available for each runner, to requested price depth."
EX_ALL_OFFERS,EX_ALL_OFFERS trumps EX_BEST_OFFERS if both settings are present
EX_TRADED,Amount traded on the exchange.

MatchProjection
Value,Description
NO_ROLLUP,"No rollup, return raw fragments"
ROLLED_UP_BY_PRICE,Rollup matched amounts by distinct matched prices per side.
ROLLED_UP_BY_AVG_PRICE,Rollup matched amounts by average matched price per side

OrderProjection
Value,Description
ALL,EXECUTABLE and EXECUTION_COMPLETE orders
EXECUTABLE,An order that has a remaining unmatched portion. This is either a fully unmatched or partially matched bet (order)
EXECUTION_COMPLETE,An order that does not have any remaining unmatched portion.  This is a fully matched bet (order).

MarketStatus
Value,Description
INACTIVE,The market has been created but isn't yet available.
OPEN,The market is open for betting.
SUSPENDED,The market is suspended and not available for betting.
CLOSED,The market has been settled and is no longer available for betting.

RunnerStatus
Value,Description
ACTIVE,ACTIVE
WINNER,WINNER
LOSER,LOSER
PLACED,"The runner was placed, applies to EACH_WAY marketTypes only."
REMOVED_VACANT,"REMOVED_VACANT applies to Greyhounds. Greyhound markets always return a fixed number of runners (traps). If a dog has been removed, the trap is shown as vacant."
REMOVED,REMOVED
HIDDEN,The selection is hidden from the market.  This occurs in Horse Racing markets were runners is hidden when it is doesn’t hold an official entry following an entry stage. This could be because the horse was never entered or because they have been scratched from a race at a declaration stage. All matched customer bet prices are set to 1.0 even if there are later supplementary stages. Should it appear likely that a specific runner may actually be supplemented into the race this runner will be reinstated with all matched customer bets set back to the original prices.

TimeGranularity
Value,Description
DAYS,days
HOURS,hours
MINUTES,minutes

Side
Value,Description
BACK,"To back a team, horse or outcome is to bet on the selection to win. For LINE markets a Back bet refers to a SELL line. A SELL line will win if the outcome is LESS THAN the taken line (price)  "
LAY,"To lay a team, horse, or outcome is to bet on the selection to lose. For LINE markets a Lay bet refers to a BUY line. A BUY line will win if the outcome is MORE THAN the taken line (price) "

OrderStatus
Value,Description
PENDING,"An asynchronous order is yet to be processed. Once the bet has been processed by the exchange (including waiting for any in-play delay), the result will be reported and available on the Exchange Stream API and API NG. Not a valid search criteria on MarketFilter"
EXECUTION_COMPLETE,An order that does not have any remaining unmatched portion.
EXECUTABLE,An order that has a remaining unmatched portion.
EXPIRED,"The order is no longer available for execution due to its time in force constraint. In the case of FILL_OR_KILL orders, this means the order has been killed because it could not be filled to your specifications. Not a valid search criteria on MarketFilter"

OrderBy
Value,Description
BY_BET,"@Deprecated Use BY_PLACE_TIME instead. Order by placed time, then bet id."
BY_MARKET,"Order by market id, then placed time, then bet id."
BY_MATCH_TIME,"Order by time of last matched fragment (if any), then placed time, then bet id. Filters out orders which have no matched date. The dateRange filter (if specified) is applied to the matched date."
BY_PLACE_TIME,"Order by placed time, then bet id. This is an alias of to be deprecated BY_BET. The dateRange filter (if specified) is applied to the placed date."
BY_SETTLED_TIME,"Order by time of last settled fragment (if any due to partial market settlement), then by last match time, then placed time, then bet id. Filters out orders which have not been settled. The dateRange filter (if specified) is applied to the settled date."
BY_VOID_TIME,"Order by time of last voided fragment (if any), then by last match time, then placed time, then bet id. Filters out orders which have not been voided. The dateRange filter (if specified) is applied to the voided date."

SortDir
Value,Description
EARLIEST_TO_LATEST,Order from earliest value to latest e.g. lowest betId is first in the results.
LATEST_TO_EARLIEST,Order from the latest value to the earliest e.g. highest betId is first in the results.

OrderType
Value,Description
LIMIT,A normal exchange limit order for immediate execution
LIMIT_ON_CLOSE,Limit order for the auction (SP)
MARKET_ON_CLOSE,Market order for the auction (SP)

MarketSort
Value,Description
MINIMUM_TRADED,Minimum traded volume
MAXIMUM_TRADED,Maximum traded volume
MINIMUM_AVAILABLE,Minimum available to match
MAXIMUM_AVAILABLE,Maximum available to match
FIRST_TO_START,The closest markets based on their expected start time
LAST_TO_START,The most distant markets based on their expected start time

MarketBettingType
Value,Description
